Date,HYG Returns,DBC Returns,VWO Returns,VGK Returns,GLD Returns,TLT Returns,VTI Returns,EWJ Returns,Portfolio Returns,,VTI,Portfolio,,,,,
7/11/14,0.001696392,-0.008852964,0.001822288,-0.000170098,0.00186717,0.006379596,0.000885361,0.001677864,0.002367082,,1.642005538,1.752386693,,,,,
7/14/14,-0.000317604,0.003883495,0.007730779,0.006976353,-0.023761438,-0.004314189,0.00481625,0.011725292,-0.005362352,,1.643459306,1.756534737,,,,,
7/15/14,-0.001588072,-0.009284294,-0.001353812,-0.004224403,-0.009465495,-0.002033739,-0.0025433,0.003311282,-0.004162112,,1.651374617,1.747115579,,,,,
7/16/14,-0.001590681,0.001561851,0.003163208,0.008484629,0.003533301,0.005316309,0.002549785,0.001650177,0.003050237,,1.647174676,1.739843889,,,,,
7/17/14,-0.00701013,0.002339142,-0.019144195,-0.015312123,0.016964031,0.012603563,-0.011542606,-0.006589749,0.005746325,,1.651374617,1.745150825,,,,,
7/18/14,0.004171563,-0.006612136,0.015614245,0.007689698,-0.007553694,-0.003220499,0.010786704,0.004975075,-0.001494057,,1.632313451,1.755179028,,,,,
7/21/14,-0.001704271,0.004698473,0.003617431,-0.004917771,0.001664941,0.004977296,-0.002349688,-0.001650177,0.002275428,,1.649920732,1.752556691,,,,,
7/22/14,0.001387085,-0.004286867,0.010362681,0.005282905,-0.004749074,0.002085377,0.005103002,0.003305809,0.000344903,,1.646043934,1.756544507,,,,,
7/23/14,0.001917961,0.002739804,0.000223008,0.001525682,-0.00095431,-0.001300636,0.002343345,0.000823645,0.000116946,,1.6544437,1.757150345,,,,,
7/24/14,0.001807915,-0.001170999,0.004904191,0.004231553,-0.010109895,-0.007466577,0.000194791,-0.004938223,-0.004618638,,1.658320632,1.757355836,,,,,
7/25/14,-0.001698469,0.003907816,-0.003992917,-0.006741966,0.011580241,0.011808945,-0.005259072,0.003308543,0.006592566,,1.658643658,1.749239247,,,,,
7/28/14,-0.002977444,-0.00194636,0.005345154,-0.001866638,-0.001669441,-0.00138321,-0.000293694,0.005770773,-0.001423389,,1.649920732,1.760771222,,,,,
7/29/14,-0.001386577,-0.003120125,-0.009082839,-0.002720166,-0.003025999,0.003636037,-0.003623573,-0.00245895,-0.000328924,,1.649436159,1.758264959,,,,,
7/30/14,-0.004165326,-0.004303521,-0.005141956,-0.002557139,-0.002955232,-0.013887702,0.000688026,0.000821699,-0.007329466,,1.643459306,1.757686623,,,,,
7/31/14,-0.008150945,-0.005108094,-0.017528054,-0.01965471,-0.011535712,-0.002974072,-0.020331988,-0.014778347,-0.007746695,,1.644590048,1.744803719,,,,,
8/1/14,-9.78E-05,-0.007898855,0.005946891,-0.008716881,0.008023324,0.007740971,-0.002506516,-0.000833339,0.003635535,,1.611152263,1.731287256,,,,,
