Date,HYG Returns,DBC Returns,VWO Returns,VGK Returns,GLD Returns,TLT Returns,VTI Returns,Portfolio Returns,Portfolio,VTI,,,,
6/22/12,0.006811087,0.009937847,0.004159079,0.010201645,0.004078378,-0.013337561,0.008088275,-0.001030341,1.695968944,1.049994511,,,,
6/25/12,-0.001552615,0.010250103,-0.018120632,-0.027650932,0.0073375,0.01455767,-0.016333426,0.00547002,1.694221518,1.058487155,,,,
6/26/12,-0.001443936,0.006899351,0.008963887,0.006923924,-0.007414152,-0.003941972,0.00476983,-0.001828823,1.703488943,1.041198434,,,,
6/27/12,0.006006688,0.005642967,0.005487292,0.008840875,0.001376012,0.001583059,0.009642387,0.003634014,1.700373565,1.046164773,,,,
6/28/12,-0.000110604,-0.010821683,-0.004157999,-0.003651445,-0.011646921,0.0024498,-0.002056992,-0.002936857,1.706552745,1.056252299,,,,
6/29/12,0.009510125,0.043354943,0.04201464,0.046420739,0.027408136,-0.013007499,0.026207282,0.011098273,1.701540844,1.054079597,,,,
7/2/12,0.001079674,-0.001941709,0.001001759,0.007004418,-0.00064441,0.010317717,0.00272601,0.004233499,1.72042501,1.081704158,,,,
7/3/12,0.003631494,0.028015524,0.018263682,0.00857869,0.015281521,-0.007685009,0.008155659,0.00503297,1.727708427,1.084652895,,,,
7/5/12,0.000109668,0.003785011,-0.008599564,-0.02275865,-0.011304547,0.005109777,-0.004115814,-0.001120444,1.736403932,1.093498953,,,,
7/6/12,-0.001315674,-0.023001508,-0.018091683,-0.012702827,-0.012654073,0.009293815,-0.009405671,-0.003126908,1.734458388,1.088998316,,,,
7/9/12,0.000329414,0.017753802,-0.004543172,0.000238228,0.002146809,0.008814701,-0.002445784,0.005431522,1.729034897,1.078755556,,,,
7/10/12,-0.004389823,-0.012893439,-0.009888416,-0.004764189,-0.012269534,0.00202847,-0.008941368,-0.004878108,1.738426187,1.076117152,,,,
7/11/12,0.00319666,0.011140952,0.004609487,0.003829579,0.00552094,0.001245743,-0.000727649,0.003545142,1.729945958,1.066495193,,,,
7/12/12,-0.002197613,0.002279597,-0.015804193,-0.010968027,-0.002614609,0.00707612,-0.003931793,0.000989739,1.736078862,1.065719159,,,,
7/13/12,0.00308334,0.012130478,0.018648037,0.017598828,0.01015796,-0.002625257,0.015643269,0.00494711,1.737797126,1.061528971,,,,
7/16/12,-0.003842338,0.01235955,-0.002034111,-0.000236874,0.000454185,0.00464509,-0.002447068,0.002204022,1.7463942,1.078134755,,,,
7/17/12,0.004738822,0.001109804,0.01197454,0.005213212,-0.00479869,-0.007860093,0.006637794,-0.002079122,1.75024329,1.075496486,,,,
7/18/12,0.004168091,0.00886918,-0.00352465,0.007307902,-0.002736678,0.000543747,0.007167425,0.001931595,1.746604321,1.08263541,,,,
7/19/12,0.002512244,0.012087913,0.010106058,0.009595126,0.002156171,-0.002561732,0.001707868,0.001845411,1.749978054,1.090395117,,,,
7/20/12,-0.004685124,0,-0.015007477,-0.026657339,0.001890683,0.012218791,-0.00909347,0.002401395,1.753207482,1.092257369,,,,
7/23/12,-0.001642051,-0.020991676,-0.024377909,-0.024529699,-0.004164762,0.005612758,-0.011040965,-0.003278886,1.757417625,1.082324959,,,,
7/24/12,-0.006140322,-0.005914972,-0.004164492,-0.014648428,0.003202019,0.007875332,-0.00898946,0.000778974,1.751655252,1.070375047,,,,
7/25/12,-0.002096238,0.007437747,0.004181908,0.009663045,0.01400465,0.002579243,0.000146343,0.004636761,1.753019747,1.060752954,,,,
7/26/12,0.01028193,0.001845663,0.021343129,0.038773036,0.007066268,-0.009155615,0.015213585,0.002773193,1.76114808,1.060908187,,,,
7/27/12,0.005909407,0.010316913,0.029306773,0.024568793,0.004911584,-0.018862172,0.019740559,-0.001240811,1.766032085,1.077048404,,,,
7/30/12,0,0.005835157,-0.005942015,-0.000922235,-0.000698235,0.007472036,-0.000989112,0.003067565,1.763840772,1.098309941,,,,
7/31/12,-0.002393405,-0.011965192,-0.003487014,-0.008308342,-0.005970832,0.002008604,-0.005516262,-0.002834679,1.769251468,1.09722359,,,,
8/1/12,0.005428017,0.001467927,0.003249227,0.001861721,-0.008626787,-0.004998963,-0.003982346,-0.002628696,1.764236208,1.091171018,,,,
8/2/12,-0.00403536,-0.008428069,-0.01395111,-0.019976779,-0.00651021,0.005668553,-0.006854142,-0.002201734,1.759598568,1.086825597,,,,
8/3/12,0.004161152,0.016999298,0.029812935,0.045034391,0.009212989,-0.016137722,0.020273131,0.001697608,1.755724399,1.07937634,,,,
8/6/12,-0.00065427,0.005813953,0.006133465,0.006577473,0.004821601,0.000392426,0.002536645,0.002139695,1.758704931,1.101258678,,,,
8/7/12,-0.001964217,0.007586669,0.00195081,0.007886401,-0.000127985,-0.012865765,0.006044422,-0.003859317,1.762468024,1.104052181,,,,
8/8/12,0.000656,0.002868412,0.00292038,-0.000670639,0.001279735,-0.005324633,0.001257558,-0.001217367,1.7556661,1.110725538,,,,
8/9/12,0.000109285,0.008223168,0.004853219,-0.001565989,0.00325926,-0.000719114,0.000837259,0.001399437,1.75352881,1.112122339,,,,
8/10/12,-0.000874044,-0.00531922,0.004588215,0.002912755,0.001210192,0.005037156,0.001952019,0.001802154,1.755982763,1.113053473,,,,
8/13/12,0.000546772,-0.007843102,-0.008173083,-0.004691669,-0.007570862,-0.001670634,-0.000834913,-0.003309723,1.759147315,1.115226175,,,,
