Date,HYG Returns,DBC Returns,VGK Returns,GLD Returns,TLT Returns,VTI Returns,Portfolio Returns,,VTI,Portfolio,,,,
3/13/15,-0.0034251,-0.020231099,-0.007064525,0.001445051,-0.003068202,-0.005582934,-0.004144124,,1.753140875,1.73504758,,,,
3/16/15,-0.000997736,-0.00118,0.013293369,-0.000631304,0.009627532,0.012538562,0.005040508,,1.743353206,1.727857327,,,,
3/17/15,-0.004993868,-0.007088069,-0.002771577,-0.005414665,0.008285113,-0.001940666,-0.000453473,,1.765212348,1.736566606,,,,
3/18/15,0.008922547,0.027364725,0.023161029,0.019598984,0.019302375,0.011481467,0.018049767,,1.76178666,1.735779121,,,,
3/19/15,-0.007959332,-0.016792125,-0.013763178,-0.000711952,-0.00509543,-0.003570115,-0.005992469,,1.782014554,1.767109529,,,,
3/20/15,0.007800368,0.013545289,0.025890557,0.011399047,0.005274321,0.00836016,0.009811194,,1.775652557,1.756520179,,,,
3/23/15,0.00077399,0.011621209,0.004474676,0.006339711,-0.001216547,-0.001731076,0.002540533,,1.790497297,1.773753739,,,,
3/24/15,0.001546782,-0.008041356,-0.001247325,0.002449899,0.009668738,-0.005293431,0.002622969,,1.78739781,1.778260019,,,,
3/25/15,-0.00264753,0.002895194,-0.006172153,0.001396552,-0.008445145,-0.015597022,-0.004634986,,1.777936343,1.78292434,,,,
3/26/15,-0.000110622,0.012124769,-0.00992957,0.006537087,-0.015589374,-0.001966473,-0.003303692,,1.750205831,1.774660511,,,,
3/27/15,0.000774332,-0.019965829,0.002917563,-0.003637037,0.012437235,0.002720975,0.001925897,,1.746764098,1.768797579,,,,
3/30/15,0.002763346,0.00523865,0.002181802,-0.011385347,-0.004959516,0.012725743,-0.002094389,,1.751517001,1.772204101,,,,
3/31/15,-0.001212529,-0.011580776,-0.016327966,-0.000791174,0.002147067,-0.009054821,-0.002911642,,1.773806355,1.768492416,,,,
4/1/15,0.002061965,0.018160457,0.009774959,0.017068396,0.013134841,-0.001864774,0.011123046,,1.757744856,1.763343199,,,,
4/2/15,0.000774422,-0.005178251,0.009132422,-0.002768157,-0.010595698,0.003176053,-0.003527713,,1.75446706,1.782956947,,,,
4/6/15,0.002542591,0.012724059,0.008868804,0.012231116,-0.005583997,0.00689075,0.004181808,,1.760039339,1.776667187,,,,
4/7/15,0.005292718,0.00513992,-0.002691093,-0.004970443,0.008384586,-0.003329333,0.002220064,,1.77216733,1.784096867,,,,
4/8/15,-0.000219343,-0.019318182,0.002698354,-0.005512014,0.000305198,0.004268414,-0.002467191,,1.766267195,1.788057676,,,,
4/9/15,-0.000987427,0,-0.000179438,-0.006928232,-0.012964328,0.003511022,-0.005786272,,1.773806355,1.783646197,,,,
4/10/15,0.002306171,0.010428795,0.002870989,0.011336906,0.001467995,0.004695717,0.005347165,,1.780034228,1.773325534,,,,
4/13/15,-0.001862588,-0.004587156,-0.005009828,-0.007157041,0.00138874,-0.003940625,-0.002830305,,1.788392765,1.782807798,,,,
4/14/15,0.000439083,0.004608295,0.008451752,-0.006079529,0.007087815,0.001472045,0.002073641,,1.78134538,1.777761908,,,,
4/15/15,0.003949975,0.020068806,0.005171129,0.008650804,-0.000841502,0.005052856,0.00526436,,1.783967601,1.781448348,,,,
4/16/15,-0.002076529,0.010680101,0.001419215,-0.003465312,-0.004976598,-0.000457067,-0.001761116,,1.792981731,1.790826533,,,,
4/17/15,-0.003066463,-0.002224638,-0.014348995,0.00495522,0.011464985,-0.011614052,0.002062134,,1.792162219,1.78767268,,,,
4/20/15,0.002197126,-0.004459309,0.001977002,-0.007612431,-0.008824675,0.00814209,-0.003896145,,1.771347953,1.791359101,,,,
4/21/15,0.000657656,-0.007278891,0.008071755,0.005753103,-0.004528328,-0.000275319,-4.96E-05,,1.785770427,1.784379707,,,,
4/22/15,-0.000985913,0.003384151,-0.000177969,-0.013433828,-0.015265967,0.004222884,-0.007785778,,1.78527877,1.784291267,,,,
